,Draft_Yr,Pk,Team,Player,College,Yrs,Games,Minutes Played,PTS,TRB,AST,FG_Percentage,TP_Percentage,FT_Percentage,Minutes per Game,Points per Game,TRB per game,Assits per Game,Win Share,WS_per_game,BPM,VORP
277,1977,105.0,WSB,Bruce Parkinson,Purdue University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
278,1977,106.0,HOU,Ed Thompson,Idaho State University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
279,1977,107.0,POR,Donn Wilber,La Salle University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
280,1977,108.0,PHI,Teko Wynder,University of Tulsa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
281,1977,109.0,DEN,John Billups,University of Mississippi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
282,1977,110.0,LAL,John Robinson,University of Michigan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283,1977,111.0,NJN,Mark Crow,Duke University,1.0,15.0,154.0,84.0,27.0,8.0,0.438,0.0,0.7,10.3,5.6,1.8,0.5,0.2,0.051,-4.4,-0.1
284,1977,112.0,BUF,Curvan Lewis,Virginia Union University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
285,1977,113.0,MIL,Chuck Goodyear,Miami University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
286,1977,114.0,ATL,Calvin Crews,University of Louisiana at Lafayette,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
287,1977,115.0,PHO,Billy McKinney,Northwestern University,7.0,476.0,9189.0,3823.0,677.0,1661.0,0.493,0.063,0.82,19.3,8.0,1.4,3.5,15.6,0.082,-2.7,-1.5
288,1977,116.0,NOJ,Wayne Golden,University of Tennessee at Chattanooga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
289,1977,117.0,IND,Tom Scheffler,Purdue University,1.0,39.0,268.0,52.0,76.0,11.0,0.412,0.0,0.5,6.9,1.3,1.9,0.3,0.2,0.037,-4.6,-0.2
290,1977,118.0,SEA,Bucky O'Brien,Seattle University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
291,1977,119.0,KCK,Bob Cooper,Providence College,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
292,1977,120.0,NYK,Jerry Graycraft,Milligan College,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
293,1977,121.0,CLE,Ron Cox,Eastern Washington University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
294,1977,122.0,BOS,Roy Pace,Rutgers University-Camden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
295,1977,123.0,CHI,Jay Chessman,Brigham Young University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
